Symbol,Rating
MTUM,0.5625
VUG,0.4375
SPY,0.375
HEDJ,0.4375
IWB,0.4375
XLF,0.1875
DIA,0.4375
ESGU,0.4375
VTI,0.4375
XLV,0.5
QQQ,0.4375
IXP,0.4375
URTH,0.25
IXN,0.4375
XLI,0.5625
IXJ,0.375
EWJ,0.4375
VTV,0.5625
AMLP,0.0
EWN,0.375
KSA,0.375
IWD,0.5
VOT,0.75
IHI,-0.0625
IWR,0.4375
ESPO,0.5625
EFA,0.3125
EPHE,0.125
MDY,0.5625
VEA,0.25
XBI,0.5625
VGK,0.25
VBK,0.5
VB,0.6875
XLY,0.5
VXUS,0.1875
PFF,-0.125
NOBL,-0.125
IWO,0.375
IBB,-0.1875
EWC,0.0
JETS,0.0
XLP,-0.25
PJP,-0.1875
IEMG,-0.1875
EWY,-0.0625
EEM,-0.1875
VWO,-0.1875
